,topic,category,content
12,Tried to take pressure off Virat: Maxwell on his 40*(18) vs GT,sports,"After scoring 40*(18) against Gujarat Titans, RCB batter Glenn Maxwell said that he tried to ""take pressure off"" his partner at the other end, Virat Kohli. ""I didn't want to soak up any time. If I could get those first couple (of balls) away..we can keep the momentum going...[if out on 1st ball] wouldn't have made a difference,"" Maxwell said. "
13,We are still the no. 1 side: Hardik Pandya on GT's 8-wicket loss vs RCB,sports,"GT captain Hardik Pandya said his team is still the number one side in IPL 2022 despite their defeat against RCB by eight wickets. ""[We] have defended the most number of totals while bowling second. We must have done reasonably well with the bat,"" added Hardik. Hardik scored 62* off 47 balls against RCB at a strike rate of 131.91."
14,He is a treasure: Ravi Shastri on Kuldeep Yadav's 2/14 against PBKS,sports,"Reacting to DC spinner Kuldeep Yadav's figures of 2/14 against PBKS, former India head coach Ravi Shastri tweeted, ""Kuldeep is a treasure to be looked after."" ""Well done captain [Rishabh Pant] for giving him the confidence,"" added Shastri in his tweet. Kuldeep accounted for the dismissals of Liam Livingstone and Harpreet Brar. DC defeated PBKS by 17 runs."
15,"Kishan exposed facing high-quality fast bowling vs SRH, it's a worry: Hayden",sports,"Former Australia opener Matthew Hayden said MI opener Ishan Kishan was ""exposed"" while facing high-quality fast bowling against SRH, adding it is a worry. ""[At] the highest level, you...[will face] a lot more of that type of bowling,"" stated Hayden. Discussing Kishan's dismissal, Hayden said the batter was under pressure following a bouncer on the previous delivery by Umran Malik."
16,He is a 'pocket rocket': Ravi Shastri on Rinku Singh's 40 (15) vs LSG,sports,"Discussing KKR batter Rinku Singh's 40 off 15 balls against LSG, ex-India head coach Ravi Shastri said Rinku is a ""pocket rocket"" adding that his knock brought KKR back in the game out of nowhere. ""Rinku may be small in frame but hits the ball really hard. [I] really enjoyed his batting,"" stated Shastri. LSG defeated KKR by two runs."
17,Kept searching for fours despite a close shave: Harbhajan on Kohli's 73 vs GT,sports,"Discussing RCB batter Virat Kohli's 73 off 54 balls against GT, ex-India off-spinner Harbhajan Singh said, ""Kohli fought...and in an interesting fashion."" ""There was a close shave...a catch was dropped in the deep but that didn't stop his attitude. He kept on searching [for] fours, the day he searches [for] fours Kohli's attitude is like this, attacking mode,"" added Harbhajan."
18,There's not a lot that has gone my way in IPL 2022: RCB's Maxwell,sports,"RCB all-rounder Glenn Maxwell said there is not a lot that has gone his way in IPL 2022, having scored 268 runs so far in the ongoing edition. ""To be able to influence the game in different areas of the contest is what I try to do,"" added Maxwell. The all-rounder has scored one half-century till now in IPL 2022."
19,"Kante is Chelsea's Neymar, Mbappe, Salah, De Bruyne, Van Dijk: Tuchel",sports,"Talking about midfielder N'Golo Kante, Chelsea manager Thomas Tuchel said, ""He is our Mohamed Salah...our Virgil van Dijk...our Kevin De Bruyne...our Neymar Jr...our Kylian Mbappé."" ""Kante has played only 40% of the games so it is...a miracle that we...[are] third...[on the Premier League points table],"" added Tuchel. ""If you...have Kante 40% of the time it's a huge problem,"" stated Tuchel."
20,Archer ruled out of English summer 2022 after suffering back stress fracture,sports,"England pacer Jofra Archer has been ruled out of this year's English summer due to a lower back stress fracture. The England and Wales Cricket Board confirmed that the 27-year-old pacer will not be available to play until the end of September at the earliest. However, no timeframe has been set for Archer's return, ECB said. "
21,Fantastic: PM Modi on Nikhat winning Women's World Boxing C'ships gold medal,sports,"Reacting to Indian boxer Nikhat Zareen winning the gold medal in the 52-kg category at the Women's World Boxing Championships 2022, Prime Minister Narendra Modi tweeted, ""Our boxers have made us proud! Congratulations...for a fantastic...win."" ""I also congratulate Manisha Moun and Parveen Hooda for their bronze medals in the same competition,"" he added in the tweet."
22,"Opp'n will think if 400's enough with Shaw, Pant in Indian Test side: Sehwag",sports,"Former India opener Virender Sehwag said opposition will think whether scoring 400 would be enough, if opener Prithvi Shaw and wicketkeeper-batter Rishabh Pant feature together in India's Test side. ""Shaw and Pant in one team could help India rule Test cricket [and] win [the] World Test Championship,"" added Sehwag. ""Shaw...can bring back the excitement in Test cricket,"" stated Sehwag."
23,Kohli won't take any rest even if told to do so: Ex-selector Sarandeep,sports,"Talking about Virat Kohli being potentially rested for Team India's upcoming T20I series against South Africa, former selector Sarandeep Singh said, ""I don't think Kohli will take any rest even if someone tells him to."" ""I find this idea of taking rest during the national side's matches quite odd...If they want rest they can take it during IPL,"" added Sarandeep."
24,Always my dream to trend on Twitter: World Boxing C'ships gold medallist Nikhat,sports,"After winning the gold medal at Women's World Boxing Championships 2022, Indian boxer Nikhat Zareen said, ""It was always my dream to...trend on Twitter and to achieve something for India at the world level is the biggest motivation."" ""The last two years were really difficult...as we couldn't train due to COVID-19,"" added Nikhat. Nikhat termed her parents as her inspiration."
25,India's Nikhat Zareen wins gold medal at Women's World Boxing Championships,sports,"India's 25-year-old boxer Nikhat Zareen on Thursday won the gold medal in the 52-kg category at the Women's World Boxing Championships 2022. Nikhat defeated Thailand's Jitpong Jutamas in the final. India have now won a total of 10 gold medals in the Women's World Boxing Championships history, with Mary Kom clinching six of them."
26,LSG record the highest opening partnership in IPL history,sports,"Lucknow Super Giants (LSG) on Wednesday recorded the highest-ever opening partnership in IPL history. Quinton De Kock and KL Rahul shared an unbeaten 210-run stand against KKR to set the record. The previous record was held by Jonny Bairstow and David Warner, who shared a 185-run opening stand for SRH against RCB on March 31, 2019."
27,"Quinton De Kock smashes 10 sixes in an innings, records highest score of IPL 2022",sports,Lucknow Super Giants (LSG) opener Quinton De Kock on Wednesday recorded the highest individual score of IPL 2022 by scoring 140*(70) against Kolkata Knight Riders (KKR). De Kock smashed 10 sixes and 10 fours in his innings. It is also the third-highest individual score in IPL history after Chris Gayle's 175* and Brendon McCullum's 158*.
28,Gautam Gambhir's angry celebration after LSG's 2-run win over KKR goes viral ,sports,"LSG mentor Gautam Gambhir's angry celebration after his team's two-run victory against KKR has gone viral. Gambhir was seen banging the table after Rinku Singh's wicket on the second-last ball of the last over. After LSG clinched the win by dismissing Umesh Yadav on the last ball, Gambhir was seen screaming and hugging his colleagues in an animated manner."
29,"Rinku Singh tears up as KKR lose to LSG by 2 runs, pics go viral",sports,"KKR's Rinku Singh teared up after his team lost to LSG by two runs and failed to qualify for IPL 2022 playoffs. Needing 21 runs to win off the last over, Rinku slammed 18 runs on the first four deliveries before getting caught out on the fifth ball. LSG dismissed Umesh Yadav on the last ball to win the match."
30,Give central contract to Umran Malik straight away: Ravi Shastri,sports,"Ex-India head coach Ravi Shastri has said that the BCCI should give central contract to SRH fast bowler Umran Malik ""straight away"". ""Don't let him float around...keep him in the mix with the main players and let him learn by being around the Shamis and Bumrahs,"" Shastri added about the 22-year-old cricketer, who is the fastest bowler in IPL 2022."
31,How can RCB qualify for IPL 2022 playoffs?,sports,"Fifth-placed RCB will face GT in IPL 2022 tonight. RCB have the worst net run-rate among teams still in contention for playoffs spots. RCB will go fourth on the table with a win over GT. However, they'd need MI to defeat DC to advance. If DC defeat MI, RCB would all likely fail to qualify due to inferior net run-rate."
32,"GT to bat first against RCB, both teams make 1 change each",sports,"GT captain Hardik Pandya won the toss and elected to bat first against RCB in their final league stage match in IPL 2022. Both the teams have made one change each to their playing XIs. Alzarri Joseph has been replaced by Lockie Ferguson in GT's playing XI, while Siddarth Kaul has replaced Mohammed Siraj in RCB's playing XI."
33,"Hardik Pandya's bat goes flying in the air, lands near square-leg region; IPL share video",sports,"On the last delivery of GT's 10th over against RCB, GT captain Hardik Pandya lost the grip of his bat, which then flew and landed near the square-leg region. ""I reckon it's a bit sticky and moist out there,"" commentator Matthew Hayden said. ""The bat travelled further than the ball,"" joked Harsha Bhogle."
34,Wade angrily throws his helmet and bat in dressing room after controversial dismissal,sports,"A video has gone viral showing GT's Matthew Wade angrily throwing his helmet and bat in the dressing room after his controversial dismissal against RCB on Thursday. Wade was adjudged LBW by the on-field umpire after which he took a review claiming the bat had touched the ball. The UltraEdge, however, didn't pick the edge and Wade was declared out."
35,"LSG to bat first against KKR in their last league stage match, make 3 changes",sports,"LSG captain KL Rahul won the toss and elected to bat first against KKR in their last league stage clash in IPL 2022 on Wednesday. LSG have made three changes to their playing XI, with Manan Vohra, Evin Lewis and Krishnappa Gowtham replacing Ayush Badoni, Dushmantha Chameera and Krunal Pandya. KKR have replaced Ajinkya Rahane with Abhijeet Tomar."
36,"Virat Kohli gifts Rashid Khan his bat ahead of their match, Rashid shares video",sports,"GT vice-captain Rashid Khan took to Instagram to share a video of him with RCB's Virat Kohli after the latter gifted him his bat ahead of their IPL 2022 clash. ""Always a pleasure meeting you...Thank you for the gift,"" Rashid wrote. Commenting on Rashid's post, SRH pacer Fazalhaq Farooqi wrote, ""Two kings of cricket."" Meanwhile, presenter Erin Holland wrote, ""Superstars."""
37,"In Bangladesh, people compare me to Bradman when I score a century: Mushfiqur Rahim",sports,"Mushfiqur Rahim, who became the first Bangladesh batter to reach 5,000 Test runs, said in Bangladesh, people compare him to Don Bradman when he scores a century. ""But...when I don't score runs...I feel like digging a hole for myself,"" he added, referring to the criticism he faces. ""This is becoming a culture...so the younger players need the support,"" Rahim stated."
38,38-yr-old boxer Musa dies of heart attack after collapsing during match in Germany,sports,"Undefeated boxer Musa Yamak has died at the age of 38 after collapsing in the ring on Saturday while facing Uganda's Hamza Wandera in Munich. ""We lost our compatriot Musa Askan Yamak, a boxer from Alucra, who won European and Asian championships, at a young age after a heart attack,"" Turkish official Hasan Turan announced."
39,"Ganguly brought in new players, backed them, doubt if Kohli did that in his tenure: Sehwag",sports,"Ex-India opener Virender Sehwag, in a recent interview, said Sourav Ganguly built a new team under his captaincy, brought in new players and backed them through their highs and lows. ""I doubt if Kohli did that in his tenure,"" he added. Sehwag further said that during Kohli’s captaincy there was a trend to change the team after almost every Test."
40,"Nikhat reaches final at Women's World Boxing Championships; Manisha, Parveen win bronze",sports,"Indian boxer Nikhat Zareen defeated Brazil's Caroline De Almeida to enter the 52-kg category final at the Women's World Boxing Championships 2022. Meanwhile, Manisha Moun bagged a bronze medal after losing in the semi-final against Tokyo Olympics bronze medallist Irma Testa. In the 63-kg category, Parveen Hooda bagged a bronze after losing to European Championships bronze medallist Amy Broadhurst."
41,"Frankfurt beat Rangers to win Europa League, end their 42-year European trophy drought",sports,"Eintracht Frankfurt defeated Rangers 5-4 on penalties in the final to win Europa League 2021/22. Before going into penalties, the match had ended in a 1-1 draw with Joe Aribo and Rafael Santos Borré scoring for Rangers and Eintracht Frankfurt, respectively. With the win, Eintracht Frankfurt ended their 42-year European trophy drought."
42,Matthew Mott appointed England men's white-ball team head coach,sports,"Former Australia Women coach Matthew Mott has been appointed the head coach of England men's white-ball cricket team. He has been appointed on a contract of four years. Under Mott, Australia Women won consecutive T20 World Cups and one 50-over World Cup, went four Ashes series undefeated and also set the world record for most consecutive ODI victories (26)."
43,"Mushfiqur beats Tamim to become first Bangladesh batter to reach 5,000 Test runs",sports,"Mushfiqur Rahim has beaten Tamim Iqbal in the race to reach 5,000 Test runs, becoming the first Bangladesh batter to reach the milestone. Rahim achieved the feat during his 105-run knock in Bangladesh's first innings in first Test against Sri Lanka. He has scored 5,037 Test runs. Tamim, who scored 133 runs in the innings, has scored 4,981 Test runs."
44,Video shows boxer Musa collapsing during fight before dying of heart attack in Germany,sports,A video showing 38-year-old undefeated boxer Musa Yamak collapsing during a fight before he died due to heart attack in Germany has surfaced online. The video shows referee and other staff rushing to help him as soon as he fell down. His opponent Uganda's Hamza Wandera could be seen standing on the other side of the ring.
45,"LSG eliminate KKR from IPL 2022 playoffs race with 2-run win, become 2nd team to advance",sports,"LSG defeated KKR by two runs in their final league match of IPL 2022 to become the second team after GT to qualify for the playoffs. With the defeat, KKR have been eliminated from the playoffs race. LSG put up a total of 210/0, with Quinton De Kock scoring 140*(70). KKR were restricted to 208/8 in their 20 overs."
46,It was luck that 19th over vs MI turned out to be maiden: Bhuvneshwar,sports,"SRH's Bhuvneshwar Kumar, while interacting with Umran Malik, said that it was ""luck"" that the 19th over against MI turned out to be maiden. ""I felt the yorker was the best option on that wicket to prevent run-scoring...Luckily, all deliveries landed in a good spot,"" he added. MI needed 19 off 12 to win when Bhuvneshwar bowled the maiden over."
47,Rahul Tripathi should be in the mix for Team India: Ravi Shastri,sports,"Ex-India coach Ravi Shastri has said SRH batter Rahul Tripathi is ""not far"" from receiving an India call-up. He added, ""If someone gets injured, this guy can be slotted in straight away...Rahul Tripathi is a dangerous player and should be in the mix."" Shastri further said, ""If he's performing season after season, I'm sure the selectors will be watching."""
48,Even the biggest of players can struggle: Ishan on his form in IPL 2022,sports,"Talking about his form in the ongoing IPL season, MI opener Ishan Kishan said that even the best of cricketers can ""struggle"" at some point. He added, ""I have seen the likes of Chris Gayle taking time (to start hitting)...Some day, you get a good start, some day, opposition bowlers come prepared."" Ishan has scored 370 runs in 13 games."
49,"Change of pace, length is what makes Arshdeep stand out: Ian Bishop",sports,"Ex-WI fast bowler Ian Bishop has said PBKS pacer Arshdeep Singh's ""change of pace and length"" makes him stand out among the young pacers in the ongoing IPL season. ""Arshdeep has good accuracy and a great feel for knowing when to bowl what type of delivery,"" explained Bishop. So far, Arshdeep has picked 10 wickets in 13 games. "
50,KKR will invest in Rinku Singh in coming years: Brendon McCullum,sports,"KKR head coach Brendon McCullum has said that the franchise will invest in their 24-year-old batter Rinku Singh ""over the next few years"". ""We will see him progressing...Not too many people can bat like Rinku did and be able to pull games out of the fire,"" McCullum said. Rinku scored 40(15), which included four sixes, against LSG on Wednesday. "
51,Rights groups urge FIFA to compensate Qatar's migrant workers with $440 million,sports,"Several rights groups have urged FIFA to compensate Qatar's migrant workers with $440 million for ""human rights abuses"" allegedly inflicted upon them during the preparations for the 2022 FIFA World Cup. Amnesty International, one of the rights groups, demanded compensation ""to remedy the litany of abuses committed since 2010"". Notably, a letter was also sent to FIFA President Gianni Infantino."
52,"MI to bowl first against SRH, both teams make 2 changes each",sports,"MI captain Rohit Sharma won the toss and elected to bowl first against SRH in their IPL 2022 clash on Tuesday. MI have included Mayank Markande and Sanjay Yadav in place of Hrithik Shokeen and Kumar Kartikeya. Meanwhile, Priyam Garg and Fazal Farooqi have replaced Shashank Singh and Marco Jansen in SRH's playing XI."
53,"16-year-old fan's letter to MS Dhoni goes viral, CSK captain says 'Well written'",sports,"A 16-year-old fan's letter to CSK captain MS Dhoni went viral on social media. The official Twitter handle of CSK shared pictures of the framed letter. ""If I am 7% the person you are someday, I'd consider myself blessed,"" a part of the letter read. Dhoni signed the letter, writing, ""Well written. Best wishes."""
54,"SRH defeat MI by 3 runs, stay alive in IPL 2022 playoffs race",sports,"SRH defeated MI by three runs on Tuesday to stay alive in IPL 2022 playoffs race. SRH are eighth on the points table with 12 points. With the win, SRH ended their five-match losing streak in the tournament. Meanwhile, bottom-placed MI became the first team to record 10 losses in the tournament. "
55,Bumrah becomes 1st Indian pacer to take 250 wickets in T20 cricket,sports,"Mumbai Indians (MI) fast bowler Jasprit Bumrah has become the first Indian pacer to take 250 wickets in T20 cricket. Overall, he is the fifth Indian to take 250 wickets in T20 cricket. Ravichandran Ashwin, Yuzvendra Chahal, Piyush Chawla and Amit Mishra are the other Indian bowlers to have taken at least 250 T20 wickets."
56,How does the IPL 2022 points table read with 1 match each remaining?,sports,"With teams left with one match each in IPL 2022 league stage, only GT have qualified for playoffs so far. RR, LSG, DC, RCB, KKR, PBKS and SRH are in contention for remaining three playoffs spots. RR and LSG have 16 points each, while DC and RCB are on 14 points each. KKR, PBKS and SRH have 12 points each."
57,It happens only in India: Chirag Shetty on receiving call from PM after Thomas Cup win,sports,"Talking about receiving call from PM Narendra Modi following India's first-ever Thomas Cup win, shuttler Chirag Shetty said, ""I've never seen a Prime Minister actually calling a sports team after a win."" He added, ""It happens only in India. It motivated us to a whole new level...We were very happy...he took out time from his busy schedule and congratulated us."""
58,SA batter Zubayr Hamza suspended for 9 months for using banned substance,sports,"South Africa batter Zubayr Hamza has been suspended for nine months by ICC for a doping violation under the ICC Anti-Doping Code. The ban was backdated to March 22, 2022, the date Hamza accepted a provisional suspension. Hamza provided an out-of-competition sample on January 17, 2022, in which the prohibited substance Furosemide was found."
59,Which Indian male wrestlers have been selected for CWG 2022?,sports,"As many as six Indian male wrestlers have qualified for Commonwealth Games (CWG) 2022. Ravi Dahiya (57 kg), Bajrang Punia (65 kg), Naveen (74 kg), Deepak Punia (86 kg), Deepak (97 kg) and Mohit Dahiya (125 kg) were selected during the trials to represent the country at the event. The CWG 2022 will be held in Birmingham."
60,"Tom Harrison steps down as ECB CEO, to be replaced by Clare Connor on interim basis",sports,"Tom Harrison has announced that he is stepping down as the CEO of England and Wales Cricket Board (ECB) after seven years in the role. Clare Connor, the former England Women captain, has taken over the position on an interim basis. ""I believe now is the right time to bring in fresh energy to continue this work,"" Harrison said."
61,Russian gymnast Kuliak banned for 1 year for wearing 'Z' war symbol on chest at World Cup,sports,"Russian gymnast Ivan Kuliak has been given a one-year ban for wearing 'Z' national war symbol on the podium at Apparatus World Cup in Qatar in March. Kuliak earned bronze in parallel bars final and displayed a letter 'Z' taped to his chest as he stood next to gold medallist, Ukraine's Illia Kovtun. He'll also have to return his medal."
62,I used to pull a truck for 8 km: Shoaib Akhtar on how he breached 160-kmph bowling speed ,sports,"Talking about how he breached 160-kmph bowling speed, former Pakistan fast bowler Shoaib Akhtar said that he used to pull vehicles. ""I began by running with tyres...Next, I started pulling small vehicles with my shoulders...[at night in Islamabad],"" he added. He further said, ""I started pulling a truck. I used to pull a truck for around 8 km."""
63,Kane Williamson to miss rest of IPL 2022 for birth of his second child,sports,"SRH captain Kane Williamson will miss the rest of the IPL 2022 as he is exiting the bio-bubble to return to New Zealand for the birth of his second child. ""Here's everyone at the #Riser camp wishing Kane Williamson and his wife a safe delivery and a lot of happiness,"" SRH posted on social media."
64,"Brian Lara shares old video of his son playing with Andrew Symonds, says 'Thank you Roy!'",sports,"Ex-West Indies captain Brian Lara took to Instagram to share a throwback video of his son playing with late Australia all-rounder Andrew Symonds. ""Thank you Roy! I will let my son know how lucky he was that day to spend some time with you,"" Lara wrote alongside the video. Symonds passed away aged 46 in a road accident on Saturday."
65,It's up to Tilak now to prove Rohit Sharma right: Gavaskar ,sports,"Ex-India captain Sunil Gavaskar has said it's up to Tilak Varma to prove Rohit Sharma right in saying that the 19-year-old could be an all-format player for Team India. ""It's up to Tilak to work that little bit extra, get his fitness going, get a little tighter as far as the technique is concerned and prove Rohit right,"" stated Gavaskar. "
66,Narine is tried and tested option as opener for KKR: Pragyan Ojha,sports,"Ahead of KKR's last league match of IPL 2022, ex-India spinner Pragyan Ojha said Sunil Narine should open for KKR in the absence of Ajinkya Rahane. ""Narine is a tried and tested option...at the top of the order. He is an attacking option. With that you can pick a player in the middle order as a dynamic option,"" Ojha explained. "
67,It's nice to break the losing streak: Williamson on 3-run win vs MI,sports,"SRH captain Kane Williamson said it was nice to break their five-match losing streak after defeating MI. He added, ""Had a few games where momentum wasn't on our side and we couldn't wrestle it back. All in all a very good performance."" SRH now have 12 points from 13 games and will play their final league match against PBKS. "
68,When we won IPL in 2014: Russell on his favourite moment with KKR,sports,"On being asked his favourite moment with Kolkata Knight Riders, all-rounder Andre Russell said, ""When we won the IPL in 2014, that was an amazing experience."" Russell has, so far, scored 330 runs and taken 17 wickets in ongoing IPL. On Saturday, Russell became the fastest batter in terms of balls faced to achieve 2000-run mark in history of IPL."
69,I'm trying to learn from every situation: Rahul Tripathi on 76(44) vs MI,sports,"SRH batter Rahul Tripathi, who scored 76(44) against MI on Tuesday, said he enjoyed batting at number three and he's trying to learn from every situation. On facing Jasprit Bumrah, Tripathi said, ""Bumrah's a great bowler...and I was just looking to react to whatever he's bowling. Depends on how the wicket is playing, how I can counterattack at that point."""
70,"DC have a never-say-die attitude, we're fighters: David Warner ",sports,"After DC registered a 17-run win against PBKS in IPL 2022 and broke into top four on the points table, DC opener David Warner said the team has a ""never-say-die"" attitude. ""We are fighters and we play to the best of our abilities..there's a hunger and desire to help each other out as we care for each other,"" he stated."
71,Rahul Tripathi has got some real potential: Matthew Hayden,sports,"Former Australia opener Matthew Hayden has praised SRH batter Rahul Tripathi, stating that the 31-year-old has ""real potential to go all the way at the international level"". Hayden added, ""He is someone [who] is a dangerous striker of the ball, he can hit both sides of the wicket."" Tripathi scored his third fifty of IPL 2022 against MI on Tuesday. "
72,We didn't aim for 200 vs MI but went with the flow: SRH's Priyam Garg,sports,"SRH's Priyam Garg, who opened their innings along with Abhishek Sharma against MI, said they didn't plan to score around 200 runs but went with the flow. ""It [was] 10-15 runs short given how we were going but it was a good score [that] our bowlers can defend,"" he added. SRH scored 193/6 and won the match by three runs. "
73,LSG will undoubtedly target Shreyas with bouncers: Shastri,sports,"Ex-India head coach Ravi Shastri has said KKR captain Shreyas Iyer will have to ""give himself time"" to score runs in their final league match against LSG on Wednesday. Shastri added that LSG will ""undoubtedly"" target him with short balls and he'll have to show his ""readiness against it"". Shreyas is KKR's top run-getter with 351 runs in 13 games."
74,He's nowhere near finished article: Bishop on SRH pacer Umran Malik,sports,"Ex-West Indies pacer Ian Bishop praised SRH pacer Umran Mailk, saying the 22-year-old's ""pace distinguishes him from every other bowler around the country and beyond now"". He added, ""It's been heartening watching his control improve as IPL has gone along...Malik is still a work in progress. He's nowhere near the finished article."" Malik has been consistently bowling above 150 kmph."
75,"Till the second last over, I thought we had it: Rohit Sharma",sports,"MI captain Rohit Sharma said he thought they had the game till about the second last over of their chase of SRH's 193-run total. He added, ""Credit to Sunrisers, they held their nerve pretty well at the back end."" MI were 175/6 after 18 overs and needed 19 runs to win the game when Bhuvneshwar Kumar bowled a maiden over."
76,"Out of all MI bowlers, I've been impressed by Sams the most: Harbhajan",sports,"Harbhajan Singh has said MI all-rounder Daniel Sams has impressed him the most among all the bowlers in the team in ongoing IPL. ""He has a great slower delivery and that's what has allowed making such a comeback...he's a good investment for the future,"" he added. Sams has picked up 11 wickets in his last seven matches for MI."
77,Asian Para Games 2022 postponed due to rising COVID-19 cases in China,sports,"The Asian Para Games 2022, which were scheduled to take place from October 9-15 in Hangzhou, China, have been postponed until 2023 amid a surge in COVID-19 cases in the country, the organisers announced on Tuesday. The decision comes in less than two weeks after the Hangzhou Asian Games were postponed indefinitely on May 6 due to the same reason."
78,This time we played as a team: Srikanth on India's maiden Thomas Cup win,sports,"Commenting on the difference between earlier Thomas Cup editions and the recent one, shuttler Kidambi Srikanth said, ""This time we really played as a team [rather] than like an individual sport."" He added, ""We bonded really well, backed each other and really believed that we could do it."" India defeated Indonesia 3-0 to win their maiden Thomas Cup on Sunday."
79,How does the IPL 2022 points table read as DC enter top 4?,sports,"With their 17-run victory over PBKS, DC moved to the fourth position on the IPL 2022 points table. DC are fourth with 14 points and a net run-rate (NRR) of 0.255. Meanwhile, RCB are now fifth on the points table with 14 points and NRR of -0.323. KKR and PBKS are sixth and seventh, respectively."
80,KKR share farewell video after Ajinkya Rahane ruled out of remaining matches of IPL 2022,sports,"KKR took to social media to share a farewell video for Ajinkya Rahane, who has been ruled out of remaining matches of IPL 2022. ""Guys...I really enjoyed my time, on and off the field with everyone. Learnt a lot as a cricketer, about life, about everything,"" Rahane said in the video. The video contained moments of Rahane from the tournament."
81,"DC defeat PBKS by 17 runs, move to 4th position on IPL 2022 points table",sports,"DC defeated PBKS by 17 runs at the DY Patil Stadium in Mumbai to move to the fourth position on the IPL 2022 points table. DC and RCB now have 14 points each, with DC having a superior net run-rate (NRR). Mitchell Marsh top-scored for DC with 63(48), while DC fast bowler Shardul Thakur took four wickets in the match."
